1;FEC ID;STATE;STATE ABBREVIATION;GENERAL ELECTION DATE;FIRST NAME;LAST NAME;LAST NAME,  FIRST;TOTAL VOTES;PARTY;GENERAL RESULTS;TOTAL VOTES #;GENERAL %;WINNER INDICATOR;
255;n/a;Maryland;MD;06.11.12;Nelson;Keyton;Keyton, Nelson;;W;3;;0,00%;;
256;n/a;Maryland;MD;06.11.12;Dwight Kenneth;French;French, Dwight Kenneth;;W;2;;0,00%;;
257;P20002218;Maryland;MD;06.11.12;Dennis;Knill;Knill, Dennis;;W;2;;0,00%;;
258;n/a;Maryland;MD;06.11.12;Barbara A.;Prokopich;Prokopich, Barbara A.;;W;2;;0,00%;;
259;n/a;Maryland;MD;06.11.12;Robert William;Dietz;Dietz, Robert William;;W;1;;0,00%;;
260;P20004172;Maryland;MD;06.11.12;Dean;Morstad;Morstad, Dean;;W;1;;0,00%;;
261;P20004149;Maryland;MD;06.11.12;Terrance James;O'Hara;O'Hara, Terrance James;;W;1;;0,00%;;
262;P20003836;Maryland;MD;06.11.12;Cecil James;Roth;Roth, Cecil James;;W;1;;0,00%;;
263;n/a;Maryland;MD;06.11.12;;;;Total State Votes:;;2.707.327;2.707.327;;;
264;P80003338;Massachusetts;MA;06.11.12;Barack;Obama;Obama, Barack;;D;1.921.290;;60,65%;W;
265;P80003353;Massachusetts;MA;06.11.12;Mitt;Romney;Romney, Mitt;;R;1.188.314;;37,51%;;
266;P20002671;Massachusetts;MA;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;30.920;;0,98%;;
267;P20003984;Massachusetts;MA;06.11.12;Jill;Stein;Stein, Jill;;GR;20.691;;0,65%;;
268;n/a;Massachusetts;MA;06.11.12;;All Others;All Others;;W;6.552;;0,21%;;
269;n/a;Massachusetts;MA;06.11.12;;;;Total State Votes:;;3.167.767;3.167.767;;;
270;P80003338;Michigan;MI;06.11.12;Barack;Obama;Obama, Barack;;D;2.564.569;;54,21%;W;
271;P80003353;Michigan;MI;06.11.12;Mitt;Romney;Romney, Mitt;;R;2.115.256;;44,71%;;
272;P20003984;Michigan;MI;06.11.12;Jill;Stein;Stein, Jill;;GRE;21.897;;0,46%;;
273;P20004685;Michigan;MI;06.11.12;Virgil, Jr.;Goode;Goode, Virgil, Jr.;;UST;16.119;;0,34%;;
274;P20002671;Michigan;MI;06.11.12;Gary;Johnson;Johnson, Gary;;W;7.774;;0,16%;;
275;P20004263;Michigan;MI;06.11.12;Ross;Anderson;Anderson, Ross;;NLP;5.147;;0,11%;;
276;P20003968;Michigan;MI;06.11.12;Stewart;Alexander;Alexander, Stewart;;W;89;;0,00%;;
277;P20004677;Michigan;MI;06.11.12;Jerry;White;White, Jerry;;W;68;;0,00%;;
278;P20005260;Michigan;MI;06.11.12;Tom;Hoefling;Hoefling, Tom;;W;42;;0,00%;;
279;n/a;Michigan;MI;06.11.12;;;;Total State Votes:;;4.730.961;4.730.961;;;
280;P80003338;Minnesota;MN;06.11.12;Barack;Obama;Obama, Barack;;DFL;1.546.167;;52,65%;W;
281;P80003353;Minnesota;MN;06.11.12;Mitt;Romney;Romney, Mitt;;R;1.320.225;;44,96%;;
282;P20002671;Minnesota;MN;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;35.098;;1,20%;;
283;P20003984;Minnesota;MN;06.11.12;Jill;Stein;Stein, Jill;;GRE;13.023;;0,44%;;
284;n/a;Minnesota;MN;06.11.12;;Scattered;Scattered;;W;10.533;;0,36%;;
285;P20004685;Minnesota;MN;06.11.12;Virgil;Goode;Goode, Virgil;;CON;3.722;;0,13%;;
286;n/a;Minnesota;MN;06.11.12;Jim;Carlson;Carlson, Jim;;GRT;3.149;;0,11%;;
287;P20004263;Minnesota;MN;06.11.12;"Ross C. ""Rocky""";Anderson;"Anderson, Ross C. ""Rocky""";;JUS;1.996;;0,07%;;
288;P20004172;Minnesota;MN;06.11.12;Dean;Morstad;Morstad, Dean;;CG;1.092;;0,04%;;
289;P60004454;Minnesota;MN;06.11.12;James;Harris;Harris, James;;SWP;1.051;;0,04%;;
290;P20004636;Minnesota;MN;06.11.12;Peta;Lindsay;Lindsay, Peta;;SLP;397;;0,01%;;
291;P20002804;Minnesota;MN;06.11.12;Roseanne;Barr;Barr, Roseanne;;W;46;;0,00%;;
292;n/a;Minnesota;MN;06.11.12;Barbara;Prokopich;Prokopich, Barbara;;W;35;;0,00%;;
293;P20005260;Minnesota;MN;06.11.12;Tom;Hoefling;Hoefling, Tom;;W;14;;0,00%;;
294;P20003208;Minnesota;MN;06.11.12;Jill;Reed;Reed, Jill;;W;8;;0,00%;;
295;P20002697;Minnesota;MN;06.11.12;Andre;Barnett;Barnett, Andre;;W;4;;0,00%;;
296;P20005245;Minnesota;MN;06.11.12;Will;Christensen;Christensen, Will;;W;1;;0,00%;;
297;n/a;Minnesota;MN;06.11.12;;;;Total State Votes:;;2.936.561;2.936.561;;;
298;P80003353;Mississippi;MS;06.11.12;Mitt;Romney;Romney, Mitt;;R;710.746;;55,29%;W;
299;P80003338;Mississippi;MS;06.11.12;Barack;Obama;Obama, Barack;;D;562.949;;43,79%;;
300;P20002671;Mississippi;MS;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;6.676;;0,52%;;
301;P20004685;Mississippi;MS;06.11.12;Virgil;Goode;Goode, Virgil;;CON;2.609;;0,20%;;
302;P20003984;Mississippi;MS;06.11.12;Jill A.;Stein;Stein, Jill A.;;GRE;1.588;;0,12%;;
303;P20005286;Mississippi;MS;06.11.12;Barbara Dale;Washer;Washer, Barbara Dale;;REF;1.016;;0,08%;;
304;n/a;Mississippi;MS;06.11.12;;;;Total State Votes:;;1.285.584;1.285.584;;;
305;P80003353;Missouri;MO;06.11.12;Mitt;Romney;Romney, Mitt;;R;1.482.440;;53,76%;W;
306;P80003338;Missouri;MO;06.11.12;Barack;Obama;Obama, Barack;;D;1.223.796;;44,38%;;
307;P20002671;Missouri;MO;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;43.151;;1,56%;;
308;P20004685;Missouri;MO;06.11.12;Virgil;Goode;Goode, Virgil;;CON;7.936;;0,29%;;
309;n/a;Missouri;MO;06.11.12;;;;Total State Votes:;;2.757.323;2.757.323;;;
310;P80003353;Montana;MT;06.11.12;Mitt;Romney;Romney, Mitt;;R;267.928;;55,35%;W;
311;P80003338;Montana;MT;06.11.12;Barack;Obama;Obama, Barack;;D;201.839;;41,70%;;
312;P20002671;Montana;MT;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;14.165;;2,93%;;
313;P20004263;Montana;MT;06.11.12;"Ross C. ""Rocky""";Anderson;"Anderson, Ross C. ""Rocky""";;W;59;;0,01%;;
314;P20004685;Montana;MT;06.11.12;Virgil;Goode;Goode, Virgil;;W;39;;0,01%;;
315;P20002804;Montana;MT;06.11.12;Roseanne;Barr;Barr, Roseanne;;W;6;;0,00%;;
316;P20005260;Montana;MT;06.11.12;Tom;Hoefling;Hoefling, Tom;;W;5;;0,00%;;
317;P20003968;Montana;MT;06.11.12;Stewart;Alexander;Alexander, Stewart;;W;4;;0,00%;;
318;P20002697;Montana;MT;06.11.12;Andre;Barnett;Barnett, Andre;;W;2;;0,00%;;
319;n/a;Montana;MT;06.11.12;Alexis;Logsdon;Logsdon, Alexis;;W;1;;0,00%;;
320;n/a;Montana;MT;06.11.12;;;;Total State Votes:;;484.048;484.048;;;
321;P80003353;Nebraska;NE;06.11.12;Mitt;Romney;Romney, Mitt;;R;475.064;;59,80%;W;
322;P80003338;Nebraska;NE;06.11.12;Barack;Obama;Obama, Barack;;D;302.081;;38,03%;;
323;P20002671;Nebraska;NE;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;11.109;;1,40%;;
324;n/a;Nebraska;NE;06.11.12;;Scattered;Scattered;;W;3.717;;0,47%;;
325;P20002424;Nebraska;NE;06.11.12;Randall A.;Terry;Terry, Randall A.;;BP;2.408;;0,30%;;
326;n/a;Nebraska;NE;06.11.12;;;;Total State Votes:;;794.379;794.379;;;
327;P80003338;Nevada;NV;06.11.12;Barack;Obama;Obama, Barack;;D;531.373;;52,36%;W;
328;P80003353;Nevada;NV;06.11.12;Mitt;Romney;Romney, Mitt;;R;463.567;;45,68%;;
329;P20002671;Nevada;NV;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;10.968;;1,08%;;
330;n/a;Nevada;NV;06.11.12;;None of These Candidates;None of These Candidates;;;5.770;;0,57%;;
331;P20004685;Nevada;NV;06.11.12;Virgil;Goode;Goode, Virgil;;IAP;3.240;;0,32%;;
332;n/a;Nevada;NV;06.11.12;;;;Total State Votes:;;1.014.918;1.014.918;;;
333;P80003338;New Hampshire;NH;06.11.12;Barack;Obama;Obama, Barack;;D;369.561;;51,98%;W;
334;P80003353;New Hampshire;NH;06.11.12;Mitt;Romney;Romney, Mitt;;R;329.918;;46,40%;;
335;P20002671;New Hampshire;NH;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;8.212;;1,16%;;
336;P80000748;New Hampshire;NH;06.11.12;Ron;Paul;Paul, Ron;;W;1.374;;0,19%;;
337;n/a;New Hampshire;NH;06.11.12;;Scattered;Scattered;;W;875;;0,12%;;
338;P20004685;New Hampshire;NH;06.11.12;Virgil;Goode;Goode, Virgil;;CON;708;;0,10%;;
339;P20003984;New Hampshire;NH;06.11.12;Jill;Stein;Stein, Jill;;W;324;;0,05%;;
340;n/a;New Hampshire;NH;06.11.12;;;;Total State Votes:;;710.972;710.972;;;
341;P80003338;New Jersey;NJ;06.11.12;Barack;Obama;Obama, Barack;;D;2.125.101;;58,38%;W;
342;P80003353;New Jersey;NJ;06.11.12;Mitt;Romney;Romney, Mitt;;R;1.477.568;;40,59%;;
343;P20002671;New Jersey;NJ;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;21.045;;0,58%;;
344;P20003984;New Jersey;NJ;06.11.12;Jill;Stein;Stein, Jill;;GRE;9.888;;0,27%;;
345;P20004685;New Jersey;NJ;06.11.12;Virgil;Goode;Goode, Virgil;;CON;2.064;;0,06%;;
346;P20004263;New Jersey;NJ;06.11.12;Ross C. (Rocky);Anderson;Anderson, Ross C. (Rocky);;NJJ;1.724;;0,05%;;
347;P80005077;New Jersey;NJ;06.11.12;Jeff;Boss;Boss, Jeff;;NSA;1.007;;0,03%;;
348;P60004454;New Jersey;NJ;06.11.12;James;Harris;Harris, James;;SWP;710;;0,02%;;
349;P20004693;New Jersey;NJ;06.11.12;Merlin;Miller;Miller, Merlin;;ATP;664;;0,02%;;
350;P20004636;New Jersey;NJ;06.11.12;Peta;Lindsay;Lindsay, Peta;;SLP;521;;0,01%;;
351;n/a;New Jersey;NJ;06.11.12;;;;Total State Votes:;;3.640.292;3.640.292;;;
352;P80003338;New Mexico;NM;06.11.12;Barack;Obama;Obama, Barack;;D;415.335;;52,99%;W;
353;P80003353;New Mexico;NM;06.11.12;Mitt;Romney;Romney, Mitt;;R;335.788;;42,84%;;
354;P20002671;New Mexico;NM;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;27.788;;3,55%;;
355;P20003984;New Mexico;NM;06.11.12;Jill;Stein;Stein, Jill;;GRE;2.691;;0,34%;;
356;P20004263;New Mexico;NM;06.11.12;"Ross C. ""Rocky""";Anderson;"Anderson, Ross C. ""Rocky""";;NMI;1.174;;0,15%;;
357;P20004685;New Mexico;NM;06.11.12;Virgil;Goode;Goode, Virgil;;CON;982;;0,13%;;
358;n/a;New Mexico;NM;06.11.12;;;;Total State Votes:;;783.758;783.758;;;
359;P80003338;New York;NY;06.11.12;Barack;Obama;Obama, Barack;;Combined Parties:;4.485.741;;63,35%;W;
360;P80003338;New York;NY;06.11.12;Barack;Obama;Obama, Barack;;D;[4,337,622];;61,26%;;
361;P80003338;New York;NY;06.11.12;Barack;Obama;Obama, Barack;;WF;[148,119];;2,09%;;
362;P80003353;New York;NY;06.11.12;Mitt;Romney;Romney, Mitt;;Combined Parties:;2.490.431;;35,17%;;
363;P80003353;New York;NY;06.11.12;Mitt;Romney;Romney, Mitt;;R;[2,228,060];;31,46%;;
364;P80003353;New York;NY;06.11.12;Mitt;Romney;Romney, Mitt;;CRV;[262,371];;3,71%;;
365;P20002671;New York;NY;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;47.256;;0,67%;;
366;P20003984;New York;NY;06.11.12;Jill;Stein;Stein, Jill;;GRE;39.982;;0,56%;;
367;n/a;New York;NY;06.11.12;;Scattered;Scattered;;W;9.076;;0,13%;;
368;P20004685;New York;NY;06.11.12;Virgil;Goode;Goode, Virgil;;CON;6.274;;0,09%;;
369;P20004636;New York;NY;06.11.12;Peta;Lindsay;Lindsay, Peta;;SLP;2.050;;0,03%;;
370;P20004263;New York;NY;06.11.12;Ross C.;Anderson;Anderson, Ross C.;;W;217;;0,00%;;
371;P20004651;New York;NY;06.11.12;Stephen;Durham;Durham, Stephen;;W;34;;0,00%;;
372;P20005260;New York;NY;06.11.12;Tom;Hoefling;Hoefling, Tom;;W;34;;0,00%;;
373;P60004454;New York;NY;06.11.12;James;Harris;Harris, James;;W;27;;0,00%;;
374;P20004677;New York;NY;06.11.12;Jerry;White;White, Jerry;;W;19;;0,00%;;
375;P20003208;New York;NY;06.11.12;Jill;Reed;Reed, Jill;;W;12;;0,00%;;
376;P20004693;New York;NY;06.11.12;Merlin;Miller;Miller, Merlin;;W;6;;0,00%;;
377;n/a;New York;NY;06.11.12;;;;Total State Votes:;;7.081.159;7.081.159;;;
378;P80003353;North Carolina;NC;06.11.12;Mitt;Romney;Romney, Mitt;;R;2.270.395;;50,39%;W;
379;P80003338;North Carolina;NC;06.11.12;Barack;Obama;Obama, Barack;;D;2.178.391;;48,35%;;
380;P20002671;North Carolina;NC;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;44.515;;0,99%;;
381;n/a;North Carolina;NC;06.11.12;;Scattered;Scattered;;W;11.537;;0,26%;;
382;P20004685;North Carolina;NC;06.11.12;Virgil;Goode;Goode, Virgil;;W;534;;0,01%;;
383;n/a;North Carolina;NC;06.11.12;;;;Total State Votes:;;4.505.372;4.505.372;;;
384;P80003353;North Dakota;ND;06.11.12;Mitt;Romney;Romney, Mitt;;R;188.163;;58,32%;W;
385;P80003338;North Dakota;ND;06.11.12;Barack;Obama;Obama, Barack;;DNL;124.827;;38,69%;;
386;P20002671;North Dakota;ND;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;5.231;;1,62%;;
387;n/a;North Dakota;ND;06.11.12;;Scattered;Scattered;;W;1.860;;0,58%;;
388;P20003984;North Dakota;ND;06.11.12;Jill;Stein;Stein, Jill;;GRE;1.361;;0,42%;;
389;P20004685;North Dakota;ND;06.11.12;Virgil;Goode;Goode, Virgil;;CON;1.185;;0,37%;;
390;n/a;North Dakota;ND;06.11.12;;;;Total State Votes:;;322.627;322.627;;;
391;P80003338;Ohio;OH;06.11.12;Barack;Obama;Obama, Barack;;D;2.827.709;;50,67%;W;
392;P80003353;Ohio;OH;06.11.12;Mitt;Romney;Romney, Mitt;;R;2.661.437;;47,69%;;
393;P20002671;Ohio;OH;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;49.493;;0,89%;;
394;P20003984;Ohio;OH;06.11.12;Jill;Stein;Stein, Jill;;GRE;18.573;;0,33%;;
395;P20005252;Ohio;OH;06.11.12;Richard;Duncan;Duncan, Richard;;IND;12.502;;0,22%;;
396;P20004685;Ohio;OH;06.11.12;Virgil;Goode;Goode, Virgil;;CON;8.152;;0,15%;;
397;P20003968;Ohio;OH;06.11.12;Stewart;Alexander;Alexander, Stewart;;SUS;2.944;;0,05%;;
399;P20003208;Ohio;OH;06.11.12;Jill;Reed;Reed, Jill;;W;14;;0,00%;;
398;n/a;Ohio;OH;06.11.12;Mike;Vargo;Vargo, Mike;;W;13;;0,00%;;
400;P20002424;Ohio;OH;06.11.12;Randall;Terry;Terry, Randall;;W;9;;0,00%;;
401;n/a;Ohio;OH;06.11.12;Susan;Daniels;Daniels, Susan;;W;1;;0,00%;;
402;n/a;Ohio;OH;06.11.12;Nelson;Keyton;Keyton, Nelson;;W;0;;0,00%;;
403;n/a;Ohio;OH;06.11.12;;;;Total State Votes:;;5.580.847;5.580.847;;;
404;P80003353;Oklahoma;OK;06.11.12;Mitt;Romney;Romney, Mitt;;R;891.325;;66,77%;W;
405;P80003338;Oklahoma;OK;06.11.12;Barack;Obama;Obama, Barack;;D;443.547;;33,23%;;
406;n/a;Oklahoma;OK;06.11.12;;;;Total State Votes:;;1.334.872;1.334.872;;;
407;P80003338;Oregon;OR;06.11.12;Barack;Obama;Obama, Barack;;D;970.488;;54,24%;W;
408;P80003353;Oregon;OR;06.11.12;Mitt;Romney;Romney, Mitt;;R;754.175;;42,15%;;
409;P20002671;Oregon;OR;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;24.089;;1,35%;;
410;P20003984;Oregon;OR;06.11.12;Jill;Stein;Stein, Jill;;PG;19.427;;1,09%;;
411;n/a;Oregon;OR;06.11.12;;Miscellaneous;Miscellaneous;;W;13.275;;0,74%;;
412;P20005245;Oregon;OR;06.11.12;Will;Christensen;Christensen, Will;;CON;4.432;;0,25%;;
413;P20004263;Oregon;OR;06.11.12;Ross C. (Rocky);Anderson;Anderson, Ross C. (Rocky);;PRO;3.384;;0,19%;;
414;n/a;Oregon;OR;06.11.12;;;;Total State Votes:;;1.789.270;1.789.270;;;
415;P80003338;Pennsylvania;PA;06.11.12;Barack;Obama;Obama, Barack;;D;2.990.274;;51,97%;W;
416;P80003353;Pennsylvania;PA;06.11.12;Mitt;Romney;Romney, Mitt;;R;2.680.434;;46,59%;;
417;P20002671;Pennsylvania;PA;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;49.991;;0,87%;;
418;P20003984;Pennsylvania;PA;06.11.12;Jill;Stein;Stein, Jill;;GRE;21.341;;0,37%;;
419;n/a;Pennsylvania;PA;06.11.12;;Scattered;Scattered;;W;11.219;;0,19%;;
420;P20004685;Pennsylvania;PA;06.11.12;Virgil;Goode;Goode, Virgil;;W;383;;0,01%;;
421;P20005260;Pennsylvania;PA;06.11.12;Tom;Hoefling;Hoefling, Tom;;W;28;;0,00%;;
422;n/a;Pennsylvania;PA;06.11.12;;;;Total State Votes:;;5.753.670;5.753.670;;;
423;P80003338;Rhode Island;RI;06.11.12;Barack;Obama;Obama, Barack;;D;279.677;;62,70%;W;
424;P80003353;Rhode Island;RI;06.11.12;Mitt;Romney;Romney, Mitt;;R;157.204;;35,24%;;
425;P20002671;Rhode Island;RI;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;4.388;;0,98%;;
426;P20003984;Rhode Island;RI;06.11.12;Jill;Stein;Stein, Jill;;GRE;2.421;;0,54%;;
427;n/a;Rhode Island;RI;06.11.12;;Scattered;Scattered;;W;686;;0,15%;;
428;P80000748;Rhode Island;RI;06.11.12;Ron;Paul;Paul, Ron;;W;617;;0,14%;;
429;P20004685;Rhode Island;RI;06.11.12;Virgil;Goode;Goode, Virgil;;CON;430;;0,10%;;
430;P20004263;Rhode Island;RI;06.11.12;"Ross C. ""Rocky""";Anderson;"Anderson, Ross C. ""Rocky""";;JUS;416;;0,09%;;
431;P20004636;Rhode Island;RI;06.11.12;Peta;Lindsay;Lindsay, Peta;;SLP;132;;0,03%;;
432;P00003392;Rhode Island;RI;06.11.12;Hillary;Clinton;Clinton, Hillary;;W;64;;0,01%;;
433;n/a;Rhode Island;RI;06.11.12;Mickey;Mouse;Mouse, Mickey;;W;14;;0,00%;;
434;n/a;Rhode Island;RI;06.11.12;;;;Total State Votes:;;446.049;446.049;;;
435;P80003353;South Carolina;SC;06.11.12;Mitt;Romney;Romney, Mitt;;R;1.071.645;;54,56%;W;
436;P80003338;South Carolina;SC;06.11.12;Barack;Obama;Obama, Barack;;D;865.941;;44,09%;;
437;P20002671;South Carolina;SC;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;16.321;;0,83%;;
438;P20003984;South Carolina;SC;06.11.12;Jill;Stein;Stein, Jill;;GRE;5.446;;0,28%;;
439;P20004685;South Carolina;SC;06.11.12;Virgil;Goode;Goode, Virgil;;CON;4.765;;0,24%;;
440;n/a;South Carolina;SC;06.11.12;;;;Total State Votes:;;1.964.118;1.964.118;;;
441;P80003353;South Dakota;SD;06.11.12;Mitt;Romney;Romney, Mitt;;R;210.610;;57,89%;W;
442;P80003338;South Dakota;SD;06.11.12;Barack;Obama;Obama, Barack;;D;145.039;;39,87%;;
443;P20002671;South Dakota;SD;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;5.795;;1,59%;;
444;P20004685;South Dakota;SD;06.11.12;Virgil;Goode;Goode, Virgil;;CON;2.371;;0,65%;;
445;n/a;South Dakota;SD;06.11.12;;;;Total State Votes:;;363.815;363.815;;;
446;P80003353;Tennessee;TN;06.11.12;Mitt;Romney;Romney, Mitt;;R;1.462.330;;59,48%;W;
447;P80003338;Tennessee;TN;06.11.12;Barack;Obama;Obama, Barack;;D;960.709;;39,08%;;
448;P20002671;Tennessee;TN;06.11.12;Gary;Johnson;Johnson, Gary;;IND;18.623;;0,76%;;
449;P20003984;Tennessee;TN;06.11.12;Jill;Stein;Stein, Jill;;GRE;6.515;;0,26%;;
450;P20004685;Tennessee;TN;06.11.12;Virgil;Goode;Goode, Virgil;;CON;6.022;;0,24%;;
451;P20004263;Tennessee;TN;06.11.12;"Ross C. ""Rocky""";Anderson;"Anderson, Ross C. ""Rocky""";;IND;2.639;;0,11%;;
452;P20004693;Tennessee;TN;06.11.12;Merlin;Miller;Miller, Merlin;;IND;1.739;;0,07%;;
453;n/a;Tennessee;TN;06.11.12;;;;Total State Votes:;;2.458.577;2.458.577;;;
454;P80003353;Texas;TX;06.11.12;Mitt;Romney;Romney, Mitt;;R;4.569.843;;57,17%;W;
455;P80003338;Texas;TX;06.11.12;Barack;Obama;Obama, Barack;;D;3.308.124;;41,38%;;
456;P20002671;Texas;TX;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;88.580;;1,11%;;
457;P20003984;Texas;TX;06.11.12;Jill;Stein;Stein, Jill;;GRE;24.657;;0,31%;;
458;P20004685;Texas;TX;06.11.12;Virgil;Goode;Goode, Virgil;;W;1.287;;0,02%;;
459;P20004263;Texas;TX;06.11.12;Rocky;Anderson;Anderson, Rocky;;W;426;;0,01%;;
460;P20005260;Texas;TX;06.11.12;Tom;Hoefling;Hoefling, Tom;;W;374;;0,00%;;
461;P20004479;Texas;TX;06.11.12;Avery;Ayers;Ayers, Avery;;W;209;;0,00%;;
462;P20003968;Texas;TX;06.11.12;Stewart;Alexander;Alexander, Stewart;;W;162;;0,00%;;
463;n/a;Texas;TX;06.11.12;Thaddaus;Hill;Hill, Thaddaus;;W;102;;0,00%;;
464;P20002697;Texas;TX;06.11.12;Andre N.;Barnett;Barnett, Andre N.;;W;87;;0,00%;;
465;n/a;Texas;TX;06.11.12;;;;Total State Votes:;;7.993.851;7.993.851;;;
466;P80003353;Utah;UT;06.11.12;Mitt;Romney;Romney, Mitt;;R;740.600;;72,79%;W;
467;P80003338;Utah;UT;06.11.12;Barack;Obama;Obama, Barack;;D;251.813;;24,75%;;
468;P20002671;Utah;UT;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;12.572;;1,24%;;
469;P20004263;Utah;UT;06.11.12;"Ross C. ""Rocky""";Anderson;"Anderson, Ross C. ""Rocky""";;JUS;5.335;;0,52%;;
470;P20003984;Utah;UT;06.11.12;Jill;Stein;Stein, Jill;;GRE;3.817;;0,38%;;
471;P20004685;Utah;UT;06.11.12;Virgil;Goode;Goode, Virgil;;CON;2.871;;0,28%;;
472;P80005572;Utah;UT;06.11.12;Gloria;La Riva;La Riva, Gloria;;UN;393;;0,04%;;
473;P20002804;Utah;UT;06.11.12;Roseanne;Barr;Barr, Roseanne;;W;18;;0,00%;;
474;P20003208;Utah;UT;06.11.12;Jill;Reed;Reed, Jill;;W;6;;0,00%;;
475;P20002697;Utah;UT;06.11.12;Andre;Barnett;Barnett, Andre;;W;5;;0,00%;;
476;P20005245;Utah;UT;06.11.12;Will;Christensen;Christensen, Will;;W;5;;0,00%;;
477;n/a;Utah;UT;06.11.12;Justin;Myers;Myers, Justin;;W;2;;0,00%;;
478;P20004651;Utah;UT;06.11.12;Stephen;Durham;Durham, Stephen;;W;1;;0,00%;;
479;P20002903;Utah;UT;06.11.12;Darrell;Hykes;Hykes, Darrell;;W;1;;0,00%;;
480;P20004172;Utah;UT;06.11.12;Dean;Morstad;Morstad, Dean;;W;1;;0,00%;;
481;n/a;Utah;UT;06.11.12;;;;Total State Votes:;;1.017.440;1.017.440;;;
482;P80003338;Vermont;VT;06.11.12;Barack;Obama;Obama, Barack;;D;199.239;;66,57%;W;
483;P80003353;Vermont;VT;06.11.12;Mitt;Romney;Romney, Mitt;;R;92.698;;30,97%;;
484;P20002671;Vermont;VT;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;3.487;;1,17%;;
485;P20004263;Vermont;VT;06.11.12;"Ross C. ""Rocky""";Anderson;"Anderson, Ross C. ""Rocky""";;JUS;1.128;;0,38%;;
486;P80000748;Vermont;VT;06.11.12;Ron;Paul;Paul, Ron;;W;717;;0,24%;;
487;n/a;Vermont;VT;06.11.12;;Scattered;Scattered;;W;710;;0,24%;;
488;P20004636;Vermont;VT;06.11.12;Peta;Lindsay;Lindsay, Peta;;SLP;695;;0,23%;;
489;P20003984;Vermont;VT;06.11.12;Jill;Stein;Stein, Jill;;W;594;;0,20%;;
490;P20004685;Vermont;VT;06.11.12;Virgil;Goode;Goode, Virgil;;W;13;;0,00%;;
491;P20002804;Vermont;VT;06.11.12;Roseanne;Barr;Barr, Roseanne;;W;9;;0,00%;;
492;n/a;Vermont;VT;06.11.12;;;;Total State Votes:;;299.290;299.290;;;
493;P80003338;Virginia;VA;06.11.12;Barack;Obama;Obama, Barack;;D;1.971.820;;51,16%;W;
494;P80003353;Virginia;VA;06.11.12;Mitt;Romney;Romney, Mitt;;R;1.822.522;;47,28%;;
495;P20002671;Virginia;VA;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;31.216;;0,81%;;
496;P20004685;Virginia;VA;06.11.12;Virgil;Goode;Goode, Virgil;;CON;13.058;;0,34%;;
497;P20003984;Virginia;VA;06.11.12;Jill;Stein;Stein, Jill;;GRE;8.627;;0,22%;;
498;n/a;Virginia;VA;06.11.12;;Scattered;Scattered;;W;7.151;;0,19%;;
499;P20004263;Virginia;VA;06.11.12;"Ross C. ""Rocky""";Anderson;"Anderson, Ross C. ""Rocky""";;W;76;;0,00%;;
500;P20003208;Virginia;VA;06.11.12;Jill;Reed;Reed, Jill;;W;14;;0,00%;;
501;n/a;Virginia;VA;06.11.12;Joseph A. /Darlene Herleikson;Glean;Glean, Joseph A. / Darlene Herleikson;;W;3;;0,00%;;
502;n/a;Virginia;VA;06.11.12;Joseph A. /Jamie Johnson;Glean;Glean, Joseph A. / Jamie Johnson;;W;1;;0,00%;;
503;P20002630;Virginia;VA;06.11.12;"Sheila ""Samm""";Tittle;"Tittle, Sheila ""Samm""";;W;1;;0,00%;;
504;n/a;Virginia;VA;06.11.12;;;;Total State Votes:;;3.854.489;3.854.489;;;
505;P80003338;Washington;WA;06.11.12;Barack;Obama;Obama, Barack;;D;1.755.396;;56,16%;W;
506;P80003353;Washington;WA;06.11.12;Mitt;Romney;Romney, Mitt;;R;1.290.670;;41,29%;;
507;P20002671;Washington;WA;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;42.202;;1,35%;;
508;P20003984;Washington;WA;06.11.12;Jill;Stein;Stein, Jill;;GRE;20.928;;0,67%;;
509;P20004685;Washington;WA;06.11.12;Virgil;Goode;Goode, Virgil;;CON;8.851;;0,28%;;
