prev_word_1,next_word_1,prev_word_2,next_word_2,sent_num,cap,word,tag,adj_count,adv_count,v_count,n_count,pre,suf,prev_tag
ward,",",23d,Karns,235,False,case,NN,0,0,2,20,,e,
",",told,case,Wexler,235,True,Karns,NP,0,0,0,0,,,
Karns,Wexler,",",that,235,False,told,VB,0,0,8,0,,,
told,that,Karns,if,235,True,Wexler,NP,0,0,0,0,,er,
seven,scheduled,the,for,235,False,cases,NN,0,0,2,20,,,
cases,for,seven,trial,235,False,scheduled,VB,1,0,2,0,,ed,
for,also,scheduled,involved,235,False,trial,NN,0,0,0,6,,,
trial,involved,for,persons,235,False,also,RB,0,1,0,0,,,
also,persons,trial,who,235,False,involved,VB,5,0,7,0,in,ed,
involved,who,also,had,235,False,persons,NN,0,0,0,3,,,
been,",",had,he,235,False,subpenaed,VB,0,0,0,0,,ed,
would,them,he,.,235,False,dismiss,VB,0,0,6,0,,,
,",",,Feb.,236,True,Washington,NP,0,0,0,5,,,
",",9,Washington,,236,True,Feb.,NP,0,0,0,0,,,
--,Kennedy,,today,237,True,President,NN,0,0,0,6,,,
President,today,--,proposed,237,True,Kennedy,NP,0,0,0,2,,,
today,a,Kennedy,mammoth,237,False,proposed,VB,0,0,5,0,,ed,
a,new,proposed,medical,237,False,mammoth,JJ,1,0,0,1,,,
mammoth,medical,a,care,237,False,new,JJ,11,1,0,0,,,
new,care,mammoth,program,237,False,medical,JJ,3,0,0,1,,,
medical,program,new,whereby,237,False,care,NN,0,0,5,6,,e,
care,whereby,medical,social,237,False,program,NN,0,0,2,8,,,
whereby,security,program,taxes,237,False,social,JJ,6,0,0,1,,,
social,taxes,whereby,on,237,False,security,NN,0,0,0,9,,,
security,on,social,70,237,False,taxes,NN,0,0,4,3,,,
million,workers,70,would,237,True,American,JJ,2,0,0,3,,,
American,would,million,be,237,False,workers,NN,0,0,0,4,,,
be,to,would,pay,237,False,raised,VB,3,0,27,0,,ed,
to,the,raised,hospital,237,False,pay,VB,0,0,11,1,,,
the,and,pay,some,237,False,hospital,NN,0,0,0,2,,,
other,bills,some,of,237,False,medical,JJ,3,0,0,1,,,
medical,of,other,14.2,237,False,bills,NN,0,0,3,10,,,
million,over,14.2,65,237,True,Americans,NP,0,0,0,3,,,
are,by,who,social,237,False,covered,VB,1,0,26,0,,ed,
by,security,covered,or,237,False,social,JJ,6,0,0,1,,,
social,or,by,railroad,237,False,security,NN,0,0,0,9,,,
or,retirement,security,programs,237,False,railroad,NN,0,0,3,2,,,
railroad,programs,or,.,237,False,retirement,NN,0,0,0,3,,,
retirement,.,railroad,,237,False,programs,NN,0,0,2,8,,,
The,",",,in,238,True,President,NN,0,0,0,6,,,
a,message,in,to,238,False,special,JJ,7,0,0,3,,,
special,to,a,Congress,238,False,message,NN,0,0,3,2,,e,
to,",",message,tied,238,True,Congress,NP,0,0,0,4,,,
",",in,Congress,with,238,False,tied,VB,5,0,9,0,,ed,
his,care,with,plan,238,False,aged,VB,5,0,3,1,,ed,
aged,plan,his,requests,238,False,care,NN,0,0,5,6,,e,
care,requests,aged,for,238,False,plan,NN,0,0,4,3,,,
plan,for,care,large,238,False,requests,NN,0,0,3,2,,,
for,federal,requests,grants,238,False,large,JJ,7,3,0,1,,e,
large,grants,for,to,238,False,federal,JJ,4,0,0,2,,,
federal,to,large,finance,238,False,grants,NN,0,0,7,8,,,
to,medical,grants,and,238,False,finance,VB,0,0,2,3,,e,
finance,and,to,dental,238,False,medical,JJ,3,0,0,1,,,
and,scholarships,medical,",",238,False,dental,JJ,2,0,0,1,,,
dental,",",and,build,238,False,scholarships,NN,0,0,0,2,,,
",",20,scholarships,new,238,False,build,VB,0,0,10,2,,,
20,medical,build,and,238,False,new,JJ,11,1,0,0,,,
new,and,20,20,238,False,medical,JJ,3,0,0,1,,,
20,dental,and,schools,238,False,new,JJ,11,1,0,0,,,
new,schools,20,",",238,False,dental,JJ,2,0,0,1,,,
dental,",",new,and,238,False,schools,NN,0,0,3,7,,,
and,child,",",health,238,False,expand,VB,0,0,7,0,,,
expand,health,and,care,238,False,child,NN,0,0,0,4,,,
child,care,expand,and,238,False,health,NN,0,0,0,2,,,
health,and,child,general,238,False,care,NN,0,0,5,6,,e,
and,medical,care,research,238,False,general,JJ,6,0,1,3,,,
general,research,and,.,238,False,medical,JJ,3,0,0,1,,,
medical,.,general,,238,False,research,NN,0,0,2,2,,,
The,care,,plan,239,False,aged,VB,5,0,3,1,,ed,
aged,plan,The,",",239,False,care,NN,0,0,5,6,,e,
care,",",aged,similar,239,False,plan,NN,0,0,4,3,,,
",",to,plan,one,239,False,similar,JJ,5,0,0,0,,,
the,sponsored,one,last,239,True,President,NN,0,0,0,6,,,
President,last,the,year,239,False,sponsored,VB,0,0,3,0,,ed,
last,as,sponsored,a,239,False,year,NN,0,0,0,4,,,
a,",",as,a,239,False,senator,NN,0,0,0,1,,,
a,on,",",Capitol,239,False,fight,NN,0,0,4,5,,,
on,hill,fight,.,239,True,Capitol,NN,0,0,0,2,,,
Capitol,.,on,,239,False,hill,NN,0,0,1,5,,,
was,in,It,Congress,240,False,defeated,VB,2,0,2,1,,ed,
in,last,defeated,year,240,True,Congress,NP,0,0,0,4,,,
last,.,Congress,,240,False,year,NN,0,0,0,4,,,
,up,,to,241,True,Cost,NN,0,0,2,3,,,
to,a,up,year,241,True,$37,NN,0,0,0,0,,,
a,,$37,,241,False,year,NN,0,0,0,4,,,
be,by,would,boosting,242,False,financed,VB,0,0,2,0,,ed,
by,the,financed,social,242,False,boosting,VB,0,0,5,0,,ing,
the,security,boosting,payroll,242,False,social,JJ,6,0,0,1,,,
social,payroll,the,tax,242,False,security,NN,0,0,0,9,,,
security,tax,social,by,242,False,payroll,NN,0,0,0,3,,,
payroll,by,security,as,242,False,tax,NN,0,0,4,1,,,
as,a,much,year,242,True,$37,NN,0,0,0,0,,,
a,for,$37,each,242,False,year,NN,0,0,0,4,,,
the,now,of,paying,242,False,workers,NN,0,0,0,4,,,
workers,paying,the,such,242,False,now,RB,0,7,0,1,,,
now,such,workers,taxes,242,False,paying,VB,2,0,11,0,,ing,
paying,taxes,now,.,242,False,such,JJ,1,1,0,0,,,
such,.,paying,,242,False,taxes,NN,0,0,4,3,,,
The,security,,payroll,243,False,social,JJ,6,0,0,1,,,
social,payroll,The,tax,243,False,security,NN,0,0,0,9,,,
security,tax,social,is,243,False,payroll,NN,0,0,0,3,,,
payroll,is,security,now,243,False,tax,NN,0,0,4,1,,,
is,6,tax,per,243,False,now,RB,0,7,0,1,,,
per,--,6,3,243,False,cent,NN,0,0,0,2,,,
per,on,3,each,243,False,cent,NN,0,0,0,2,,,
each,and,on,employer,243,False,worker,NN,0,0,0,4,,er,
and,--,worker,on,243,False,employer,NN,0,0,0,1,,er,
first,of,the,pay,243,True,"$4,800",NN,0,0,0,0,,,
of,per,"$4,800",year,243,False,pay,NN,0,0,11,1,,,
per,.,pay,,243,False,year,NN,0,0,0,4,,,
The,plan,,alone,244,True,Kennedy,NP,0,0,0,2,,,
Kennedy,alone,The,would,244,False,plan,NN,0,0,4,3,,,
plan,would,Kennedy,boost,244,False,alone,RB,4,2,0,0,,e,
would,the,alone,base,244,False,boost,VB,0,0,5,3,,,
the,to,boost,"$5,000",244,False,base,NN,7,0,3,20,,e,
to,a,base,year,244,True,"$5,000",NN,0,0,0,0,,,
a,and,"$5,000",the,244,False,year,NN,0,0,0,4,,,
the,tax,and,to,244,False,payroll,NN,0,0,0,3,,,
payroll,to,the,6.5,244,False,tax,NN,0,0,4,1,,,
per,--,6.5,3.25,244,False,cent,NN,0,0,0,2,,,
per,each,3.25,.,244,False,cent,NN,0,0,0,2,,,
,payroll,,tax,245,True,Similar,JJ,5,0,0,0,,,
Similar,tax,,boosts,245,False,payroll,NN,0,0,0,3,,,
payroll,boosts,Similar,would,245,False,tax,NN,0,0,4,1,,,
tax,would,payroll,be,245,False,boosts,NN,0,0,5,3,,,
be,on,would,those,245,False,imposed,VB,1,0,3,0,,ed,
the,retirement,under,system,245,False,railroad,NN,0,0,3,2,,,
railroad,system,the,.,245,False,retirement,NN,0,0,0,3,,,
retirement,.,railroad,,245,False,system,NN,0,0,0,9,,,
The,tax,,would,246,False,payroll,NN,0,0,0,3,,,
payroll,would,The,actually,246,False,tax,NN,0,0,4,1,,,
would,rise,tax,to,246,False,actually,RB,0,4,0,0,,ly,
actually,to,would,7.5,246,False,rise,VB,0,0,17,10,,e,
per,starting,7.5,Jan.,246,False,cent,NN,0,0,0,2,,,
cent,Jan.,per,1,246,False,starting,VB,2,0,14,1,,ing,
starting,1,cent,",",246,True,Jan.,NP,0,0,0,0,,,
the,is,if,approved,246,False,plan,NN,0,0,4,3,,,
is,",",plan,because,246,False,approved,VB,1,0,2,0,,ed,
the,is,because,already,246,False,levy,NN,0,0,2,2,,,
is,scheduled,levy,to,246,False,already,RB,0,1,0,0,,,
already,to,is,go,246,False,scheduled,VB,1,0,2,0,,ed,
to,up,scheduled,by,246,False,go,VB,1,0,30,4,,,
per,on,1,that,246,False,cent,NN,0,0,0,2,,,
that,to,on,pay,246,False,date,NN,0,0,5,8,,e,
to,for,date,other,246,False,pay,VB,0,0,11,1,,,
other,security,for,costs,246,False,social,JJ,6,0,0,1,,,
social,costs,other,.,246,False,security,NN,0,0,0,9,,,
security,.,social,,246,False,costs,NN,0,0,2,4,,,
,would,,increase,247,True,Outlays,NN,0,0,0,2,,,
would,,Outlays,,247,False,increase,VB,0,0,2,5,in,e,
,estimated,,the,248,True,Officials,NN,0,0,0,2,,,
Officials,the,,annual,248,False,estimated,VB,0,0,2,0,,ed,
the,tax,estimated,boost,248,False,annual,JJ,2,0,0,2,,,
annual,boost,the,for,248,False,tax,NN,0,0,4,1,,,
tax,for,annual,the,248,False,boost,NN,0,0,5,3,,,
the,plan,for,would,248,False,medical,JJ,3,0,0,1,,,
medical,would,the,amount,248,False,plan,NN,0,0,4,3,,,
would,to,plan,1.5,248,False,amount,VB,0,0,3,4,,,
billion,and,1.5,that,248,False,dollars,NN,0,0,0,4,,,
that,benefits,and,paid,248,False,medical,JJ,3,0,0,1,,,
medical,paid,that,out,248,False,benefits,NN,0,0,2,3,,,
benefits,out,medical,would,248,False,paid,VB,3,0,11,0,,,
would,1,out,billion,248,False,run,VB,0,0,41,16,,,
first,",",the,1963,248,False,year,NN,0,0,0,4,,,
Both,would,,go,249,False,figures,NN,0,0,5,13,,,
would,higher,figures,in,249,False,go,VB,1,0,30,4,,,
go,in,would,later,249,False,higher,RB,9,0,0,0,,er,
in,years,higher,.,249,False,later,JJ,9,3,0,0,,er,
later,.,in,,249,False,years,NN,0,0,0,7,,,
Other,of,,the,250,False,parts,NN,0,0,5,13,,,
the,health,of,plan,250,True,Kennedy,NP,0,0,0,2,,,
Kennedy,plan,the,would,250,False,health,NN,0,0,0,2,,,
health,would,Kennedy,entail,250,False,plan,NN,0,0,4,3,,,
would,federal,plan,grants,250,False,entail,VB,0,0,3,2,,,
entail,grants,would,of,250,False,federal,JJ,4,0,0,2,,,
federal,of,entail,750,250,False,grants,NN,0,0,7,8,,,
billion,over,1,the,250,False,dollars,NN,0,0,0,4,,,
10,.,next,,250,False,years,NN,0,0,0,7,,,
be,for,would,out,251,False,paid,VB,3,0,11,0,,,
of,",",out,not,251,False,general,JJ,6,0,1,3,,,
not,",",",",taxes,251,False,payroll,NN,0,0,0,3,,,
",",.,payroll,,251,False,taxes,NN,0,0,4,3,,,
,home,,care,252,True,Nursing,VB,0,0,5,3,,ing,
Nursing,care,,,252,False,home,NN,3,3,2,9,,e,
home,,Nursing,,252,False,care,NN,0,0,5,6,,e,
The,care,,plan,253,False,aged,VB,5,0,3,1,,ed,
aged,plan,The,carries,253,False,care,NN,0,0,5,6,,e,
care,carries,aged,these,253,False,plan,NN,0,0,4,3,,,
plan,these,care,benefits,253,False,carries,VB,0,0,40,1,,,
these,for,carries,persons,253,False,benefits,NN,0,0,2,3,,,
for,over,benefits,65,253,False,persons,NN,0,0,0,3,,,
the,security,under,and,253,False,social,JJ,6,0,0,1,,,
social,and,the,railroad,253,False,security,NN,0,0,0,9,,,
and,retirement,security,systems,253,False,railroad,NN,0,0,3,2,,,
railroad,systems,and,:,253,False,retirement,NN,0,0,0,3,,,
retirement,:,railroad,1,253,False,systems,NN,0,0,0,9,,,
,payment,,of,254,True,Full,JJ,8,1,3,1,,,
Full,of,,hospital,254,False,payment,NN,0,0,0,3,,,
of,bills,payment,for,254,False,hospital,NN,0,0,0,2,,,
hospital,for,of,stays,254,False,bills,NN,0,0,3,10,,,
for,up,bills,to,254,False,stays,NN,0,0,11,6,,,
90,for,to,each,254,False,days,NN,0,0,0,11,,,
each,",",for,except,254,False,illness,NN,0,0,0,1,,,
the,would,that,pay,254,False,patient,NN,1,0,0,2,,,
would,$10,patient,a,254,False,pay,VB,0,0,11,1,,,
pay,a,would,day,254,True,$10,NN,0,0,0,0,,,
a,of,$10,the,254,False,day,NN,0,0,0,10,,,
the,for,of,the,254,False,cost,NN,0,0,2,3,,,
nine,.,first,,254,False,days,NN,0,0,0,11,,,
,payment,,of,256,True,Full,JJ,8,1,3,1,,,
Full,of,,nursing,256,False,payment,NN,0,0,0,3,,,
of,home,payment,bills,256,False,nursing,VB,0,0,5,3,,ing,
nursing,bills,of,for,256,False,home,NN,3,3,2,9,,e,
home,for,nursing,up,256,False,bills,NN,0,0,3,10,,,
180,following,to,discharge,256,False,days,NN,0,0,0,11,,,
days,discharge,180,from,256,False,following,VB,4,0,24,2,,ing,
following,from,days,a,256,False,discharge,NN,0,0,11,9,,e,
a,.,from,,256,False,hospital,NN,0,0,0,2,,,
A,could,,receive,257,False,patient,NN,1,0,0,2,,,
could,up,patient,to,257,False,receive,VB,0,0,13,0,,e,
300,paid-for,to,nursing,257,False,days,NN,0,0,0,11,,,
days,nursing,300,home,257,False,paid-for,JJ,0,0,0,0,,,
paid-for,home,days,care,257,False,nursing,VB,0,0,5,3,,ing,
nursing,care,paid-for,under,257,False,home,NN,3,3,2,9,,e,
home,under,nursing,a,257,False,care,NN,0,0,5,6,,e,
``,formula,a,'',257,False,unit,NN,0,0,0,6,un,,
unit,'',``,allowing,257,False,formula,NN,0,0,0,7,,,
'',more,formula,of,257,False,allowing,VB,0,0,10,0,,ing,
of,care,more,for,257,False,such,JJ,1,1,0,0,,,
such,for,of,those,257,False,care,NN,0,0,5,6,,e,
who,none,those,or,257,False,use,VB,0,0,6,7,,e,
only,of,or,the,257,False,part,NN,0,1,5,12,,,
the,credit,of,.,257,False,hospital-care,NN,0,0,0,0,,e,
hospital-care,.,the,,257,False,credit,NN,0,0,4,9,,,
,outpatient,,clinic,259,True,Hospital,NN,0,0,0,2,,,
Hospital,clinic,,diagnostic,259,False,outpatient,NN,0,0,0,1,,,
outpatient,diagnostic,Hospital,service,259,False,clinic,NN,0,0,0,3,,,
clinic,service,outpatient,for,259,False,diagnostic,NN,2,0,0,0,,,
diagnostic,for,clinic,all,259,False,service,NN,0,0,3,15,,e,
all,in,for,excess,259,False,costs,NN,0,0,2,4,,,
in,of,costs,$20,259,False,excess,NN,1,0,0,4,,,
of,a,excess,patient,259,True,$20,NN,0,0,0,0,,,
a,.,$20,,259,False,patient,NN,1,0,0,2,,,
,visiting,,nurse,261,True,Community,NN,0,0,0,6,,,
Community,nurse,,services,261,False,visiting,VB,0,0,8,1,,ing,
visiting,services,Community,at,261,False,nurse,NN,0,0,5,2,,e,
nurse,at,visiting,home,261,False,services,NN,0,0,3,16,,,
at,for,services,up,261,False,home,NN,3,3,2,9,,e,
240,an,to,illness,261,False,days,NN,0,0,0,11,,,
an,.,days,,261,False,illness,NN,0,0,0,1,,,
The,noted,,that,262,True,President,NN,0,0,0,6,,,
President,that,The,Congress,262,False,noted,VB,2,0,4,0,,ed,
that,last,noted,year,262,True,Congress,NP,0,0,0,4,,,
last,passed,Congress,a,262,False,year,NN,0,0,0,4,,,
year,a,last,law,262,False,passed,VB,0,0,25,0,,ed,
a,providing,passed,grants,262,False,law,NN,0,0,0,7,,,
law,grants,a,to,262,False,providing,VB,0,0,7,0,,ing,
providing,to,law,states,262,False,grants,NN,0,0,7,8,,,
to,to,grants,help,262,False,states,NN,0,0,3,8,,,
to,pay,states,medical,262,False,help,VB,0,0,8,4,,,
help,medical,to,bills,262,False,pay,VB,0,0,11,1,,,
pay,bills,help,of,262,False,medical,JJ,3,0,0,1,,,
medical,of,pay,the,262,False,bills,NN,0,0,3,10,,,
the,aged,of,.,262,False,needy,JJ,2,0,0,1,,,
needy,.,the,,262,False,aged,VB,5,0,3,1,,ed,
,proposal,,modest,263,True,Calls,VB,0,0,28,13,,,
Calls,modest,,,263,False,proposal,NN,0,0,0,3,,,
proposal,,Calls,,263,False,modest,JJ,7,0,0,0,,est,
He,his,,plan,264,False,said,VB,1,0,11,0,,,
his,is,said,designed,264,False,plan,NN,0,0,4,3,,,
is,to,plan,``,264,False,designed,VB,1,0,7,0,,ed,
``,the,to,needs,264,False,meet,VB,1,0,13,1,,,
the,of,meet,those,264,False,needs,NN,0,1,3,4,,,
those,who,of,have,264,False,millions,NN,0,0,0,2,,,
no,to,have,receive,264,False,wish,NN,0,0,6,4,,,
to,care,wish,at,264,False,receive,VB,0,0,13,0,,e,
receive,at,to,the,264,False,care,NN,0,0,5,6,,e,
the,expense,at,",",264,False,taxpayers',NN,0,0,0,0,,,
taxpayers',",",the,but,264,False,expense,NN,0,0,1,3,,e,
are,staggered,who,by,264,False,nevertheless,RB,0,1,0,0,,,
nevertheless,by,are,the,264,False,staggered,VB,0,0,4,0,,ed,
the,on,by,their,264,False,drain,NN,0,0,4,4,,,
their,--,on,or,264,False,savings,NN,0,0,11,4,,,
their,--,of,caused,264,False,children,NN,0,0,0,4,,,
--,by,children,an,264,False,caused,VB,0,0,2,0,,ed,
an,hospital,by,stay,264,False,extended,VB,5,0,17,0,,ed,
extended,stay,an,'',264,False,hospital,NN,0,0,0,2,,,
hospital,'',extended,.,264,False,stay,NN,0,0,11,5,,,
very,proposal,a,cut,265,False,modest,JJ,7,0,0,0,,est,
modest,cut,very,to,265,False,proposal,NN,0,0,0,3,,,
proposal,to,modest,meet,265,False,cut,VB,9,0,41,20,,,
to,absolutely,cut,essential,265,False,meet,VB,1,0,13,1,,,
meet,essential,to,needs,265,False,absolutely,RB,0,2,0,0,,ly,
absolutely,needs,meet,'',265,False,essential,JJ,5,0,0,1,,,
essential,'',absolutely,",",265,False,needs,NN,0,1,3,4,,,
he,",",",",``,265,False,said,VB,1,0,11,0,,,
with,',and,deductible,265,False,sufficient,JJ,1,0,0,0,,,
',',sufficient,requirements,265,False,deductible,JJ,1,0,0,2,,e,
',to,deductible,discourage,265,False,requirements,NN,0,0,0,3,,,
to,any,requirements,malingering,265,False,discourage,VB,0,0,3,0,,e,
any,or,discourage,unnecessary,265,False,malingering,NN,0,0,1,1,,ing,
or,overcrowding,malingering,of,265,False,unnecessary,JJ,1,0,0,0,un,,
unnecessary,of,or,our,265,False,overcrowding,NN,0,0,2,0,,ing,
our,.,of,,265,False,hospitals,NN,0,0,0,2,,,
a,of,not,socialized,266,False,program,NN,0,0,2,8,,,
of,medicine,program,.,266,False,socialized,VB,1,0,4,0,,ed,
socialized,.,of,,266,False,medicine,NN,0,0,1,4,,e,
a,of,is,prepayment,267,False,program,NN,0,0,2,8,,,
of,of,program,health,267,False,prepayment,NN,0,0,0,1,,,
of,costs,prepayment,with,267,False,health,NN,0,0,0,2,,,
health,with,of,absolute,267,False,costs,NN,0,0,2,4,,,
with,freedom,costs,of,267,False,absolute,JJ,5,0,0,1,,e,
absolute,of,with,choice,267,False,freedom,NN,0,0,0,2,,,
of,guaranteed,freedom,.,267,False,choice,NN,2,0,0,3,,e,
choice,.,of,,267,False,guaranteed,VB,0,0,4,0,,ed,
Every,will,,choose,268,False,person,NN,0,0,0,3,,,
will,his,person,own,268,False,choose,VB,0,0,3,0,,e,
his,doctor,choose,and,268,False,own,JJ,1,0,1,0,,,
own,and,his,hospital,268,False,doctor,NN,0,0,3,4,,,
and,'',doctor,.,268,False,hospital,NN,0,0,0,2,,,
Wouldn't,doctors,,,269,False,pay,VB,0,0,11,1,,,
pay,,Wouldn't,,269,False,doctors,NN,0,0,3,4,,,
The,does,,not,270,False,plan,NN,0,0,4,3,,,
not,doctor,does,bills,270,False,cover,VB,0,0,26,10,,er,
cover,bills,not,.,270,False,doctor,NN,0,0,3,4,,,
doctor,.,cover,,270,False,bills,NN,0,0,3,10,,,
would,be,They,paid,271,False,still,RB,6,4,4,4,,,
be,by,still,the,271,False,paid,VB,3,0,11,0,,,
the,.,by,,271,False,patient,NN,1,0,0,2,,,
,from,,the,272,True,Apart,RB,2,6,0,0,,,
the,care,from,plan,272,False,aged,VB,5,0,3,1,,ed,
aged,plan,the,the,272,False,care,NN,0,0,5,6,,e,
care,the,aged,President's,272,False,plan,NN,0,0,4,3,,,
the,most,plan,ambitious,272,True,President's,NN,0,0,0,0,,,
most,and,President's,costly,272,False,ambitious,JJ,2,0,0,0,,,
and,proposals,ambitious,were,272,False,costly,JJ,2,0,0,0,,ly,
costly,were,and,for,272,False,proposals,NN,0,0,0,3,,,
for,scholarships,were,",",272,False,federal,JJ,4,0,0,2,,,
federal,",",for,and,272,False,scholarships,NN,0,0,0,2,,,
and,to,",",build,272,False,grants,NN,0,0,7,8,,,
to,or,grants,enlarge,272,False,build,VB,0,0,10,2,,,
or,medical,build,and,272,False,enlarge,VB,0,0,4,0,,e,
enlarge,and,or,dental,272,False,medical,JJ,3,0,0,1,,,
and,schools,medical,.,272,False,dental,JJ,2,0,0,1,,,
dental,.,and,,272,False,schools,NN,0,0,3,7,,,
The,said,,the,273,True,President,NN,0,0,0,6,,,
President,the,The,nation's,273,False,said,VB,1,0,11,0,,,
the,92,said,medical,273,False,nation's,NN,0,0,0,0,,,
92,and,nation's,47,273,False,medical,JJ,3,0,0,1,,,
47,schools,and,cannot,273,False,dental,JJ,2,0,0,1,,,
dental,cannot,47,now,273,False,schools,NN,0,0,3,7,,,
cannot,handle,schools,the,273,False,now,RB,0,7,0,1,,,
now,the,cannot,student,273,False,handle,VB,0,0,6,1,,e,
the,load,handle,needed,273,False,student,NN,0,0,0,2,,,
student,needed,the,to,273,False,load,NN,0,0,5,9,,,
load,to,student,meet,273,False,needed,VB,1,0,3,0,,ed,
to,the,needed,rising,273,False,meet,VB,1,0,13,1,,,
the,need,meet,for,273,False,rising,VB,4,0,17,2,,ing,
rising,for,the,health,273,False,need,NN,0,0,3,4,,ed,
for,care,need,.,273,False,health,NN,0,0,0,2,,,
health,.,for,,273,False,care,NN,0,0,5,6,,e,
,",",,he,274,True,Moreover,RB,0,1,0,0,,er,
he,",",",",many,274,False,said,VB,1,0,11,0,,,
many,young,",",people,274,False,qualified,VB,5,0,7,0,,ed,
qualified,people,many,are,274,False,young,JJ,5,0,0,9,,,
young,are,qualified,not,274,False,people,NN,0,0,2,4,,e,
not,into,are,medicine,274,False,going,VB,1,0,30,3,,ing,
into,and,going,dentistry,274,False,medicine,NN,0,0,1,4,,e,
and,because,medicine,they,274,False,dentistry,NN,0,0,0,1,,,
can't,the,they,schooling,274,False,afford,VB,0,0,4,0,,,
the,costs,afford,.,274,False,schooling,VB,0,0,3,3,,ing,
schooling,.,the,,274,False,costs,NN,0,0,2,4,,,
,to,,schools,275,True,Contributions,NN,0,0,0,5,,,
to,,Contributions,,275,False,schools,NN,0,0,3,7,,,
The,plan,,would,276,False,scholarship,NN,0,0,0,2,,,
scholarship,would,The,provide,276,False,plan,NN,0,0,4,3,,,
would,federal,plan,contributions,276,False,provide,VB,0,0,7,0,,e,
provide,contributions,would,to,276,False,federal,JJ,4,0,0,2,,,
federal,to,provide,each,276,False,contributions,NN,0,0,0,5,,,
each,and,to,dental,276,False,medical,JJ,3,0,0,1,,,
and,school,medical,equal,276,False,dental,JJ,2,0,0,1,,,
dental,equal,and,to,276,False,school,NN,0,0,3,7,,,
school,to,dental,"$1,500",276,False,equal,JJ,2,0,3,1,,,
to,a,equal,year,276,True,"$1,500",NN,0,0,0,0,,,
a,for,"$1,500",one-fourth,276,False,year,NN,0,0,0,4,,,
for,of,year,the,276,False,one-fourth,NN,0,0,0,1,,,
first,students,the,.,276,False,year,NN,0,0,0,4,,,
year,.,first,,276,False,students,NN,0,0,0,2,,,
The,could,,use,277,False,schools,NN,0,0,3,7,,,
could,the,schools,money,277,False,use,VB,0,0,6,7,,e,
the,to,use,pay,277,False,money,NN,0,0,0,3,,,
to,4-year,money,scholarships,277,False,pay,VB,0,0,11,1,,,
pay,scholarships,to,",",277,True,4-year,JJ,0,0,0,0,,,
4-year,",",pay,based,277,False,scholarships,NN,0,0,0,2,,,
",",on,scholarships,need,277,False,based,VB,2,0,3,0,,ed,
on,",",based,of,277,False,need,NN,0,0,3,4,,ed,
to,a,up,year,277,True,"$2,000",NN,0,0,0,0,,,
a,per,"$2,000",student,277,False,year,NN,0,0,0,4,,,
per,.,year,,277,False,student,NN,0,0,0,2,,,
In,",",,the,278,False,addition,NN,0,0,0,6,,ion,
the,would,",",pay,278,False,government,NN,0,0,0,4,,,
would,a,government,"$1,000",278,False,pay,VB,0,0,11,1,,,
a,``,pay,cost,278,True,"$1,000",NN,0,0,0,0,,,
``,of,"$1,000",education,278,False,cost,NN,0,0,2,3,,,
of,'',cost,grant,278,False,education,NN,0,0,0,6,,ion,
'',to,education,the,278,False,grant,NN,0,0,7,8,,ant,
the,for,to,each,278,False,schools,NN,0,0,3,7,,,
each,in,for,scholarship,278,True,"$1,500",NN,0,0,0,0,,,
in,grants,"$1,500",.,278,False,scholarship,NN,0,0,0,2,,,
scholarship,.,in,,278,False,grants,NN,0,0,7,8,,,
,estimated,,the,279,True,Officials,NN,0,0,0,2,,,
Officials,the,,combined,279,False,estimated,VB,0,0,2,0,,ed,
the,programs,estimated,would,279,False,combined,VB,1,0,7,0,,ed,
combined,would,the,cost,279,False,programs,NN,0,0,2,8,,,
would,5.1,programs,million,279,False,cost,VB,0,0,2,3,,,
million,the,5.1,first,279,False,dollars,NN,0,0,0,4,,,
first,and,the,would,279,False,year,NN,0,0,0,4,,,
would,up,and,to,279,False,go,VB,1,0,30,4,,,
21,by,to,1966,279,False,millions,NN,0,0,0,2,,,
The,recommended,,federal,280,True,President,NN,0,0,0,6,,,
President,federal,The,``,280,False,recommended,VB,0,0,3,0,,ed,
recommended,``,President,matching,280,False,federal,JJ,4,0,0,2,,,
``,grants,federal,'',280,False,matching,VB,2,0,10,0,,ing,
matching,'',``,totaling,280,False,grants,NN,0,0,7,8,,,
'',700,grants,million,280,False,totaling,VB,0,0,3,0,,ing,
million,in,700,10,280,False,dollars,NN,0,0,0,4,,,
10,for,in,constructing,280,False,years,NN,0,0,0,7,,,
for,new,years,medical,280,False,constructing,VB,0,0,6,0,,ing,
constructing,medical,for,and,280,False,new,JJ,11,1,0,0,,,
new,and,constructing,dental,280,False,medical,JJ,3,0,0,1,,,
and,schools,medical,or,280,False,dental,JJ,2,0,0,1,,,
dental,or,and,enlarging,280,False,schools,NN,0,0,3,7,,,
or,the,schools,capacity,280,False,enlarging,VB,0,0,4,0,,ing,
the,of,enlarging,existing,280,False,capacity,NN,0,0,0,9,,,
of,ones,capacity,.,280,False,existing,VB,3,0,2,0,,ing,
existing,.,of,,280,False,ones,NN,0,0,0,2,,,
for,homes,More,,281,False,nursing,VB,0,0,5,3,,ing,
nursing,,for,,281,False,homes,NN,0,0,2,9,,,
the,of,In,``,282,False,area,NN,0,0,0,6,,,
``,health,of,services,282,False,community,NN,0,0,0,6,,,
community,services,``,'',282,False,health,NN,0,0,0,2,,,
health,'',community,",",282,False,services,NN,0,0,3,16,,,
